id_sucursal,mostraba_opiniones,overral_stars,number_opinions,tiempo_delivery,tipo_envio,dollar_mean_price
0,True,4.2,450,27.5,Gratis(nuevos usuarios),11.67
1,False,0.0,0,0.0,Gratis(nuevos usuarios),6.98
2,False,0.0,0,30.5,Gratis(nuevos usuarios),14.36
3,False,0.0,0,0.0,Gratis(nuevos usuarios),9.43
4,False,0.0,0,27.5,Gratis(nuevos usuarios),16.7
5,False,0.0,0,0.0,Gratis(nuevos usuarios),16.83
6,False,4.8,65,0.0,Gratis(nuevos usuarios),3.37
7,False,0.0,0,0.0,Gratis(nuevos usuarios),10.22
8,False,4.4,102,0.0,Gratis(nuevos usuarios),11.76
9,False,0.0,0,0.0,Gratis(nuevos usuarios),12.56
10,True,3.7,43,37.5,Gratis(nuevos usuarios),11.6
11,False,0.0,0,0.0,Gratis(nuevos usuarios),12.56
12,False,0.0,0,0.0,Gratis(nuevos usuarios),0.0
13,False,0.0,0,0.0,Gratis(nuevos usuarios),0.0
14,False,0.0,0,0.0,Gratis(nuevos usuarios),12.56
15,False,0.0,0,0.0,Gratis(nuevos usuarios),12.56
16,False,4.8,52,0.0,Gratis(nuevos usuarios),6.28
17,False,0.0,0,42.5,Gratis(nuevos usuarios),15.41
18,True,4.4,30,36.5,Gratis(nuevos usuarios),10.43
19,False,0.0,0,0.0,Gratis(nuevos usuarios),9.29
20,True,4.5,22,40.5,Gratis(nuevos usuarios),12.14
21,False,0.0,0,0.0,Gratis(nuevos usuarios),6.14
22,False,4.6,36,0.0,Gratis(nuevos usuarios),11.38
23,False,0.0,0,0.0,Gratis(nuevos usuarios),13.94
24,False,4.4,59,0.0,Gratis(nuevos usuarios),0.0
25,True,4.2,22,42.5,Gratis(nuevos usuarios),6.69
26,True,4.5,38,32.5,Gratis(nuevos usuarios),6.31
27,True,4.4,78,42.5,Gratis(nuevos usuarios),6.69
28,True,4.5,21,42.5,Gratis(nuevos usuarios),6.69
29,True,4.4,61,43.5,Gratis(nuevos usuarios),6.74
30,False,0.0,0,33.5,Gratis(nuevos usuarios),6.69
31,True,4.5,81,25.5,Gratis(nuevos usuarios),6.69
32,False,0.0,0,0.0,Gratis(nuevos usuarios),0.0
33,False,4.4,26,0.0,Gratis(nuevos usuarios),6.79
34,False,0.0,0,0.0,Gratis(nuevos usuarios),0.0
35,False,0.0,0,0.0,Gratis(nuevos usuarios),6.79
36,True,4.1,45,27.5,Gratis(nuevos usuarios),6.69
37,False,0.0,0,36.5,Gratis(nuevos usuarios),17.24
38,True,4.7,42,24.5,Gratis(nuevos usuarios),7.68
39,False,3.9,26,0.0,Gratis(nuevos usuarios),10.17
40,False,0.0,0,42.5,Gratis(nuevos usuarios),5.14
41,False,0.0,0,0.0,Gratis(nuevos usuarios),14.06
42,True,4.4,93,34.5,Gratis(nuevos usuarios),8.2
43,True,4.2,212,36.5,Gratis(nuevos usuarios),10.64
44,True,4.3,203,40.5,Gratis(nuevos usuarios),8.33
45,False,4.4,57,0.0,Gratis(nuevos usuarios),7.97
46,False,4.4,30,0.0,Gratis(nuevos usuarios),5.87
47,False,0.0,0,0.0,Gratis(nuevos usuarios),5.52
48,False,0.0,0,0.0,Gratis(nuevos usuarios),17.58
49,False,3.9,54,0.0,Gratis(nuevos usuarios),10.02
50,True,4.6,31,26.5,Gratis(nuevos usuarios),9.46
51,True,4.6,139,25.5,Gratis(nuevos usuarios),9.66
52,True,3.9,117,52.5,Gratis(nuevos usuarios),9.81
53,False,0.0,0,0.0,Gratis(nuevos usuarios),10.15
54,True,4.3,160,27.5,Gratis(nuevos usuarios),11.29
55,True,3.9,45,42.5,Gratis(nuevos usuarios),9.03
56,False,0.0,0,0.0,Gratis(nuevos usuarios),8.07
57,False,0.0,0,0.0,Gratis(nuevos usuarios),0.0
58,True,4.5,56,42.5,Gratis(nuevos usuarios),9.62
59,False,0.0,0,42.5,Gratis(nuevos usuarios),8.04
60,False,4.2,44,0.0,Gratis(nuevos usuarios),9.06
61,True,4.2,101,26.5,Gratis(nuevos usuarios),9.66
62,True,4,70,33.5,Gratis(nuevos usuarios),8.48
63,False,0.0,0,36.5,Gratis(nuevos usuarios),5.36
64,False,4.5,52,0.0,Gratis(nuevos usuarios),10.87
65,False,0.0,0,31.5,Gratis(nuevos usuarios),9.12
66,False,0.0,0,30.5,Gratis(nuevos usuarios),8.87
67,False,0.0,0,28.5,Gratis(nuevos usuarios),9.23
68,False,0.0,0,28.5,Gratis(nuevos usuarios),9.23
69,False,0.0,0,0.0,Gratis(nuevos usuarios),9.45
70,False,0.0,0,30.5,Gratis(nuevos usuarios),9.23
