id_sucursal,mostraba_opiniones,overral_stars,number_opinions,tiempo_delivery,tipo_envio,dollar_mean_price
0,1,4.1,332,42 - 57 min,Gratis(nuevos usuarios),8.6
1,1,4.0,237,35 - 50 min,Gratis(nuevos usuarios),8.44
2,0,3.8,201,No específicado,Gratis(nuevos usuarios),8.12
3,1,4.1,625,57 - 72 min,Gratis(nuevos usuarios),8.61
4,1,4.1,66,48 - 63 min,Gratis(nuevos usuarios),9.5
5,1,3.3,21,31 - 46 min,Gratis(nuevos usuarios),7.61
6,1,4.3,66,41 - 56 min,Gratis(nuevos usuarios),7.61
7,1,4.1,60,36 - 51 min,Gratis(nuevos usuarios),7.6
8,0,0.0,0,35 - 50 min,Gratis(nuevos usuarios),6.13
9,0,0.0,0,No específicado,Gratis(nuevos usuarios),7.18
10,0,4.0,45,No específicado,Gratis(nuevos usuarios),8.99
11,0,4.2,86,No específicado,Gratis(nuevos usuarios),7.57
12,0,4.3,157,No específicado,Gratis(nuevos usuarios),7.57
13,1,4.3,96,35 - 50 min,Gratis(nuevos usuarios),7.57
14,0,4.1,63,No específicado,Gratis(nuevos usuarios),7.5
15,0,4.1,30,No específicado,Gratis(nuevos usuarios),7.41
16,1,4.2,82,35 - 50 min,Gratis(nuevos usuarios),7.27
17,1,4.0,391,50 - 65 min,Gratis(nuevos usuarios),6.81
18,1,4.3,219,35 - 50 min,Gratis(nuevos usuarios),6.9
19,1,4.2,129,26 - 41 min,Gratis(nuevos usuarios),7.97
20,0,3.8,27,No específicado,Gratis(nuevos usuarios),12.58
21,1,4.2,161,35 - 50 min,Gratis(nuevos usuarios),6.67
22,0,3.9,57,No específicado,Gratis(nuevos usuarios),8.98
23,0,0.0,0,35 - 50 min,Gratis(nuevos usuarios),13.52
24,1,4.0,81,42 - 57 min,Gratis(nuevos usuarios),13.4
25,1,4.3,78,53 - 68 min,Gratis(nuevos usuarios),13.4
26,1,3.7,38,35 - 50 min,Gratis(nuevos usuarios),14.63
27,0,0.0,0,35 - 50 min,Gratis(nuevos usuarios),10.84
28,1,3.8,20,35 - 50 min,Gratis(nuevos usuarios),11.44
29,1,3.8,21,35 - 50 min,Gratis(nuevos usuarios),11.44
30,1,3.7,34,35 - 50 min,Gratis(nuevos usuarios),10.84
31,0,4.3,70,No específicado,Gratis(nuevos usuarios),20.02
32,1,3.6,127,35 - 50 min,Gratis(nuevos usuarios),7.76
33,0,0.0,0,No específicado,Gratis(nuevos usuarios),9.15
34,1,4.2,325,35 - 50 min,Gratis(nuevos usuarios),4.96
35,1,3.9,246,35 - 50 min,Gratis(nuevos usuarios),4.96
36,1,4.3,116,35 - 50 min,Gratis(nuevos usuarios),4.71
37,1,4.5,447,35 - 50 min,Gratis(nuevos usuarios),4.96
38,1,4.7,67,35 - 50 min,Gratis(nuevos usuarios),4.55
39,0,0.0,0,50 min,Gratis(nuevos usuarios),4.96
40,0,3.7,51,No específicado,Gratis(nuevos usuarios),5.65
41,1,4.4,30,35 - 50 min,Gratis(nuevos usuarios),5.21
42,0,0.0,0,No específicado,Gratis(nuevos usuarios),11.18
43,0,0.0,0,35 - 50 min,Gratis(nuevos usuarios),12.33
44,0,0.0,0,35 - 50 min,Gratis(nuevos usuarios),5.3
45,1,4.0,31,35 - 50 min,Gratis(nuevos usuarios),5.37
46,0,0.0,0,35 - 50 min,Gratis(nuevos usuarios),5.25
47,0,0.0,0,35 - 50 min,Gratis(nuevos usuarios),5.25
48,0,0.0,0,35 - 50 min,Gratis(nuevos usuarios),5.16
49,0,0.0,0,35 - 50 min,Gratis(nuevos usuarios),5.23
50,1,4.2,42,35 - 50 min,Gratis(nuevos usuarios),5.1
51,0,0.0,0,35 - 50 min,Gratis(nuevos usuarios),5.25
52,1,4.7,352,35 - 50 min,Gratis(nuevos usuarios),4.77
53,0,0.0,0,35 - 50 min,Gratis(nuevos usuarios),8.28
54,0,0.0,0,35 - 50 min,Gratis(nuevos usuarios),16.18
55,1,4.9,40,35 - 50 min,Gratis(nuevos usuarios),8.51
56,0,0.0,0,35 - 50 min,Gratis(nuevos usuarios),9.35
57,0,0.0,0,35 - 50 min,Gratis(nuevos usuarios),18.19
58,1,4.4,210,35 - 50 min,Gratis(nuevos usuarios),9.13
59,1,4.3,257,35 - 50 min,Gratis(nuevos usuarios),6.93
60,1,4.2,25,35 - 50 min,Gratis(nuevos usuarios),6.42
61,1,4.4,58,35 - 50 min,Gratis(nuevos usuarios),6.74
62,1,4.5,98,35 - 50 min,Gratis(nuevos usuarios),10.67
63,0,0.0,0,35 - 50 min,Gratis(nuevos usuarios),9.84
64,0,4.6,30,No específicado,Gratis(nuevos usuarios),8.14
65,0,0.0,0,No específicado,No específicado,7.75
66,1,4.4,377,35 - 50 min,Gratis(nuevos usuarios),8.97
67,1,4.8,20,35 - 50 min,Gratis(nuevos usuarios),8.73
68,1,4.6,157,35 - 50 min,Gratis(nuevos usuarios),7.48
69,1,4.6,195,35 - 50 min,Gratis(nuevos usuarios),11.27
70,0,0.0,0,35 - 50 min,Gratis(nuevos usuarios),9.83
71,1,4.4,320,35 - 50 min,Gratis(nuevos usuarios),8.34
72,1,4.4,323,35 - 50 min,Gratis(nuevos usuarios),8.11
73,1,4.9,150,35 - 50 min,Gratis(nuevos usuarios),6.25
74,0,4.3,23,No específicado,Gratis(nuevos usuarios),7.22
75,0,0.0,0,No específicado,Gratis(nuevos usuarios),7.01
76,0,0.0,0,No específicado,Gratis(nuevos usuarios),7.01
77,0,0.0,0,35 - 50 min,Gratis(nuevos usuarios),7.01
78,0,0.0,0,35 - 50 min,Gratis(nuevos usuarios),7.01
79,0,0.0,0,No específicado,Gratis(nuevos usuarios),7.01
80,1,4.0,39,35 - 50 min,Gratis(nuevos usuarios),7.99
81,1,4.4,68,47 - 62 min,Gratis(nuevos usuarios),22.34
82,0,4.2,41,No específicado,Gratis(nuevos usuarios),4.4
83,0,0.0,0,No específicado,Gratis(nuevos usuarios),5.91
84,1,4.2,120,35 - 50 min,Gratis(nuevos usuarios),5.06
85,0,0.0,0,35 - 50 min,Gratis(nuevos usuarios),10.99
86,0,0.0,0,No específicado,No específicado,10.92
87,1,4.3,80,35 - 50 min,Gratis(nuevos usuarios),11.23
88,1,3.9,23,35 - 50 min,Gratis(nuevos usuarios),10.79
89,0,0.0,0,No específicado,No específicado,11.22
90,0,0.0,0,35 - 50 min,Gratis(nuevos usuarios),11.48
91,0,0.0,0,35 - 50 min,Gratis(nuevos usuarios),10.99
92,0,0.0,0,35 - 50 min,Gratis(nuevos usuarios),10.92
93,1,4.5,225,22 - 37 min,Gratis(nuevos usuarios),5.97
94,1,4.5,195,33 - 48 min,Gratis(nuevos usuarios),5.28
95,1,4.4,249,40 - 55 min,Gratis(nuevos usuarios),3.87
96,1,4.6,74,35 - 50 min,Gratis(nuevos usuarios),4.99
97,0,4.7,115,No específicado,Gratis(nuevos usuarios),4.94
98,1,4.5,182,35 - 50 min,Gratis(nuevos usuarios),4.13
99,0,0.0,0,No específicado,Gratis(nuevos usuarios),7.29
100,0,0.0,0,35 - 50 min,Gratis(nuevos usuarios),5.12
101,0,0.0,0,35 - 50 min,Gratis(nuevos usuarios),5.05
102,0,0.0,0,35 - 50 min,Gratis(nuevos usuarios),5.05
103,1,3.8,20,35 - 50 min,Gratis(nuevos usuarios),4.68
104,0,0.0,0,35 - 50 min,Gratis(nuevos usuarios),4.43
105,0,0.0,0,35 - 50 min,Gratis(nuevos usuarios),5.05
106,0,0.0,0,35 - 50 min,Gratis(nuevos usuarios),5.72
107,0,0.0,0,33 - 48 min,Gratis(nuevos usuarios),7.28
108,1,4.0,87,35 - 50 min,Gratis(nuevos usuarios),4.81
109,0,0.0,0,No específicado,No específicado,3.37
110,0,0.0,0,35 - 50 min,Gratis(nuevos usuarios),5.16
111,1,3.8,42,35 - 50 min,Gratis(nuevos usuarios),5.05
112,0,0.0,0,35 - 50 min,Gratis(nuevos usuarios),5.62
113,1,4.4,116,35 - 50 min,Gratis(nuevos usuarios),5.16
114,0,0.0,0,No específicado,Gratis(nuevos usuarios),5.7
115,1,4.2,73,35 - 50 min,Gratis(nuevos usuarios),5.88
116,0,0.0,0,35 - 50 min,Gratis(nuevos usuarios),3.8
117,0,0.0,0,32 - 47 min,Gratis(nuevos usuarios),7.1
118,1,3.5,34,33 - 48 min,Gratis(nuevos usuarios),6.97
119,1,4.3,142,35 - 50 min,Gratis(nuevos usuarios),7.18
120,0,0.0,0,35 - 50 min,Gratis(nuevos usuarios),5.05
121,0,0.0,0,No específicado,No específicado,4.81
122,0,0.0,0,35 - 50 min,Gratis(nuevos usuarios),5.05
123,0,0.0,0,No específicado,Gratis(nuevos usuarios),5.16
124,0,0.0,0,No específicado,No específicado,5.62
125,0,4.7,29,No específicado,Gratis(nuevos usuarios),3.37
126,0,4.7,32,No específicado,Gratis(nuevos usuarios),6.54
127,1,3.1,357,30 - 45 min,Gratis(nuevos usuarios),7.39
128,1,3.3,220,50 min,Gratis(nuevos usuarios),7.25
129,0,0.0,0,No específicado,No específicado,7.25
130,1,2.8,123,50 min,Gratis(nuevos usuarios),7.33
131,1,3.1,286,50 min,Gratis(nuevos usuarios),7.55
132,1,4.4,75,35 - 50 min,Gratis(nuevos usuarios),6.37
133,1,3.9,44,32 - 47 min,Gratis(nuevos usuarios),6.24
134,1,4.4,33,35 - 50 min,Gratis(nuevos usuarios),3.71
135,0,0.0,0,35 - 50 min,Gratis(nuevos usuarios),3.63
136,0,0.0,0,35 - 50 min,Gratis(nuevos usuarios),2.64
137,1,4.6,120,35 - 50 min,Gratis(nuevos usuarios),4.96
138,0,0.0,0,23 - 38 min,Gratis(nuevos usuarios),3.45
139,1,3.9,56,35 - 50 min,Gratis(nuevos usuarios),3.65
140,1,4.5,77,35 - 50 min,Gratis(nuevos usuarios),3.02
141,1,4.5,110,21 - 36 min,Gratis(nuevos usuarios),4.76
142,1,4.3,121,35 - 50 min,Gratis(nuevos usuarios),4.12
143,1,4.1,46,35 - 50 min,Gratis(nuevos usuarios),3.3
144,0,0.0,0,No específicado,Gratis(nuevos usuarios),8.22
145,0,3.8,24,No específicado,Gratis(nuevos usuarios),9.34
146,1,3.9,74,54 - 69 min,Gratis(nuevos usuarios),9.53
147,1,4.4,31,44 - 59 min,Gratis(nuevos usuarios),8.82
148,0,0.0,0,35 - 50 min,Gratis(nuevos usuarios),13.72
149,0,4.7,426,No específicado,Gratis(nuevos usuarios),6.75
150,0,4.5,30,No específicado,Gratis(nuevos usuarios),6.88
151,1,4.4,50,35 - 50 min,Gratis(nuevos usuarios),11.2
152,1,4.5,72,35 - 50 min,Gratis(nuevos usuarios),11.54
153,1,4.5,112,27 - 42 min,Gratis(nuevos usuarios),10.29
154,1,4.6,66,27 - 42 min,Gratis(nuevos usuarios),12.97
155,1,4.7,104,26 - 41 min,Gratis(nuevos usuarios),12.51
156,1,4.6,120,21 - 36 min,Gratis(nuevos usuarios),13.37
157,1,4.6,26,26 - 41 min,Gratis(nuevos usuarios),10.76
158,0,0.0,0,No específicado,No específicado,7.19
159,0,0.0,0,No específicado,No específicado,5.69
160,0,0.0,0,35 - 50 min,Gratis(nuevos usuarios),9.83
161,1,4.3,112,35 - 50 min,Gratis(nuevos usuarios),8.06
162,0,0.0,0,No específicado,No específicado,8.06
163,1,4.3,1122,24 - 39 min,Gratis(nuevos usuarios),8.15
164,1,4.1,960,35 - 50 min,Gratis(nuevos usuarios),8.04
165,1,3.8,1328,25 - 40 min,Gratis(nuevos usuarios),8.09
166,1,4.1,1186,35 - 50 min,Gratis(nuevos usuarios),7.96
167,1,4.1,386,35 - 50 min,Gratis(nuevos usuarios),8.06
168,1,4.1,68,35 - 50 min,Gratis(nuevos usuarios),8.03
169,1,4.1,818,35 - 50 min,Gratis(nuevos usuarios),8.13
170,1,4.2,427,35 - 50 min,Gratis(nuevos usuarios),8.06
171,0,0.0,0,No específicado,No específicado,8.03
172,1,4.0,574,35 - 50 min,Gratis(nuevos usuarios),8.06
173,1,4.1,671,35 - 50 min,Gratis(nuevos usuarios),8.23
174,1,4.0,286,35 - 50 min,Gratis(nuevos usuarios),8.06
175,1,4.2,275,35 - 50 min,Gratis(nuevos usuarios),8.19
176,1,4.2,411,35 - 50 min,Gratis(nuevos usuarios),8.19
177,1,3.9,1350,35 - 50 min,Gratis(nuevos usuarios),8.22
178,1,4.1,1162,38 - 53 min,Gratis(nuevos usuarios),8.22
179,0,0.0,0,No específicado,No específicado,8.21
180,1,3.8,503,35 - 50 min,Gratis(nuevos usuarios),8.16
181,1,3.9,722,35 - 50 min,Gratis(nuevos usuarios),7.94
182,1,4.1,1772,26 - 41 min,Gratis(nuevos usuarios),8.28
183,1,4.2,777,35 - 50 min,Gratis(nuevos usuarios),8.05
184,1,4.1,436,35 - 50 min,Gratis(nuevos usuarios),8.05
185,1,4.2,696,35 - 50 min,Gratis(nuevos usuarios),8.06
186,1,4.1,1362,35 - 50 min,Gratis(nuevos usuarios),8.19
187,1,4.0,1165,35 - 50 min,Gratis(nuevos usuarios),8.27
188,1,4.2,848,35 - 50 min,Gratis(nuevos usuarios),8.08
189,1,4.1,360,35 - 50 min,Gratis(nuevos usuarios),8.08
190,1,4.2,1155,35 - 50 min,Gratis(nuevos usuarios),8.19
191,1,4.1,1547,32 - 47 min,Gratis(nuevos usuarios),8.19
192,1,4.1,1621,24 - 39 min,Gratis(nuevos usuarios),8.06
193,1,4.0,561,35 - 50 min,Gratis(nuevos usuarios),8.1
194,1,4.0,239,35 - 50 min,Gratis(nuevos usuarios),8.06
195,1,4.1,949,35 - 50 min,Gratis(nuevos usuarios),8.06
196,0,0.0,0,No específicado,No específicado,8.59
197,1,4.0,548,35 - 50 min,Gratis(nuevos usuarios),8.27
198,1,4.1,1962,35 - 50 min,Gratis(nuevos usuarios),8.01
199,1,4.1,914,44 - 59 min,Gratis(nuevos usuarios),8.41
200,1,4.1,1042,35 - 50 min,Gratis(nuevos usuarios),8.12
201,1,4.2,1228,34 - 49 min,Gratis(nuevos usuarios),8.19
202,1,3.8,748,35 - 50 min,Gratis(nuevos usuarios),8.09
203,1,4.1,1702,35 - 50 min,Gratis(nuevos usuarios),8.13
204,1,3.8,103,35 - 50 min,Gratis(nuevos usuarios),8.06
205,1,4.3,119,35 - 50 min,Gratis(nuevos usuarios),8.29
206,1,3.4,42,35 - 50 min,Gratis(nuevos usuarios),8.05
207,1,4.2,1223,35 - 50 min,Gratis(nuevos usuarios),8.21
208,1,4.2,136,35 - 50 min,Gratis(nuevos usuarios),8.06
209,1,4.1,80,35 - 50 min,Gratis(nuevos usuarios),8.19
210,1,4.3,189,35 - 50 min,Gratis(nuevos usuarios),8.06
211,1,3.8,505,35 - 50 min,Gratis(nuevos usuarios),8.06
212,1,3.8,28,35 - 50 min,Gratis(nuevos usuarios),8.08
213,1,4.0,482,35 - 50 min,Gratis(nuevos usuarios),8.06
214,1,4.2,180,35 - 50 min,Gratis(nuevos usuarios),8.06
215,1,4.0,413,35 - 50 min,Gratis(nuevos usuarios),8.17
216,1,3.8,932,35 - 50 min,Gratis(nuevos usuarios),8.11
217,1,4.1,842,40 - 55 min,Gratis(nuevos usuarios),8.19
218,1,4.1,1425,35 - 50 min,Gratis(nuevos usuarios),8.19
219,1,4.0,566,47 - 62 min,Gratis(nuevos usuarios),8.06
220,1,3.9,992,35 - 50 min,Gratis(nuevos usuarios),8.29
221,1,4.1,1081,35 - 50 min,Gratis(nuevos usuarios),8.27
222,1,4.1,1829,35 - 50 min,Gratis(nuevos usuarios),8.15
223,1,4.3,195,35 - 50 min,Gratis(nuevos usuarios),8.06
